date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:26:34	82593/82593	---M--	200	added ('OK')	application/pdf	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/sllabus/Computer%20Syllabus/6/Elective-2-Multimedia%20Systems.pdf	E:/clgorg/gptchromepet.co.in/sllabus/Computer%20Syllabus/6/Elective-2-Multimedia%20Systems.pdf	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
20:26:34	77468/77468	---M--	200	added ('OK')	application/pdf	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/sllabus/Computer%20Syllabus/6/Mobile%20Computing.pdf	E:/clgorg/gptchromepet.co.in/sllabus/Computer%20Syllabus/6/Mobile%20Computing.pdf	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
20:26:35	32881/32881	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/img/sidebar/13.png	E:/clgorg/gptchromepet.co.in/img/sidebar/13.png	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
20:26:35	31987/31987	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/img/sidebar/10.jpg	E:/clgorg/gptchromepet.co.in/img/sidebar/10.jpg	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
20:26:35	23730/23730	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/img/sidebar/11.jpg	E:/clgorg/gptchromepet.co.in/img/sidebar/11.jpg	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
20:26:35	23334/23334	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/img/sidebar/9.jpg	E:/clgorg/gptchromepet.co.in/img/sidebar/9.jpg	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
20:26:35	27120/27120	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/img/sidebar/12.jpg	E:/clgorg/gptchromepet.co.in/img/sidebar/12.jpg	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
20:26:36	26512/26512	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/img/sidebar/14.jpg	E:/clgorg/gptchromepet.co.in/img/sidebar/14.jpg	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
20:26:36	77822/77822	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/img/banner/8.jpg	E:/clgorg/gptchromepet.co.in/img/banner/8.jpg	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_ece_dept_courses_details.html)
20:26:37	317879/317879	---M--	200	added ('OK')	application/pdf	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/sllabus/ece/3/ELECTRICAL%20CIRCUITS%20AND%20INSTRUMENTATION.pdf	E:/clgorg/gptchromepet.co.in/sllabus/ece/3/ELECTRICAL%20CIRCUITS%20AND%20INSTRUMENTATION.pdf	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_ece_dept_courses_details.html)
20:26:37	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Aug%202025%2014:56:39%20GMT	https://gptchromepet.co.in/sllabus/ece/3/PROGRAMMING%20IN%20%c3%ad%c2%a6C%c3%ad%c2%a6.pdf	E:/clgorg/gptchromepet.co.in/sllabus/ece/3/PROGRAMMING%20IN%20%c3%ad%c2%a6C%c3%ad%c2%a6.97.delayed	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_ece_dept_courses_details.html)
20:26:37	519294/519294	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/img/course/22.png	E:/clgorg/gptchromepet.co.in/img/course/22.png	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_ece_dept_courses_details.html)
